ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.12500,0.15517,0.13846,2
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.12500,0.15517,0.13846,2

ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.35514,0.39175,0.37255,2
ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.35514,0.39175,0.37255,2

ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.06604,0.07292,0.06931,2
ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.06604,0.07292,0.06931,2

ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.13714,0.15158,0.14400,2
ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.13714,0.15158,0.14400,2

ROUGE-L+StopWordRemoval,TASK2,PERSIANSYSSUM1.TXT,0.49097,0.97842,0.65385,1

ROUGE-1+StopWordRemoval,TASK2,PERSIANSYSSUM1.TXT,0.38475,0.97309,0.55146,1

ROUGE-2+StopWordRemoval,TASK2,PERSIANSYSSUM1.TXT,0.37138,0.96244,0.53595,1

ROUGE-SU4+StopWordRemoval,TASK2,PERSIANSYSSUM1.TXT,0.36185,0.96256,0.52598,1

