ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.12500,0.17647,0.14634,2
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.12500,0.17647,0.14634,2

ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.28972,0.39241,0.33333,2
ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.28972,0.39241,0.33333,2

ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.07547,0.10256,0.08696,2
ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.07547,0.10256,0.08696,2

ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.10667,0.14545,0.12308,2
ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.10667,0.14545,0.12308,2

ROUGE-L+StopWordRemoval,TASK2,PERSIANSYSSUM1.TXT,0.49097,0.97842,0.65385,1

ROUGE-1+StopWordRemoval,TASK2,PERSIANSYSSUM1.TXT,0.38475,0.97309,0.55146,1

ROUGE-2+StopWordRemoval,TASK2,PERSIANSYSSUM1.TXT,0.37138,0.96244,0.53595,1

ROUGE-SU4+StopWordRemoval,TASK2,PERSIANSYSSUM1.TXT,0.36185,0.96256,0.52598,1

